Cell	annotation	x.loc	y.loc	region
Cell1	Immune (myeloid)	0.6385	0.5561	1
Cell2	Epithelial cell	0.5005	0.7611	1
Cell3	Epithelial cell	0.7895	0.5607	1
Cell4	Fibroblast	0.8029	0.3139	1
Cell5	Epithelial cell	0.6156	0.5432	1
Cell6	Epithelial cell	0.9027	0.2028	1
Cell7	Endothelial cell	0.9663	0.971	1
Cell8	Epithelial cell	0.6609	0.2771	1
Cell9	Epithelial cell	0.6485	0.7301	1
Cell10	Fibroblast	0.6597	0.8065	1
Cell11	Adipocyte	0.8653	0.5519	1
Cell12	Epithelial cell	0.5276	0.6436	1
Cell13	Adipocyte	0.8202	0.8735	1
Cell14	Adipocyte	0.9806	0.2999	1
Cell15	Adipocyte	0.8615	0.9509	1
Cell16	Epithelial cell	0.5529	0.1215	1
Cell17	Epithelial cell	0.6107	0.3184	1
Cell18	Epithelial cell	0.4591	0.8642	1
Cell19	Epithelial cell	0.7035	0.7098	1
Cell20	Adipocyte	0.8523	0.9953	1
Cell21	Epithelial cell	0.6727	0.4296	1
Cell22	Endothelial cell	0.8837	0.3434	1
Cell23	Fibroblast	0.6989	0.3027	1
Cell24	Adipocyte	0.5702	0.634	1
Cell25	Fibroblast	0.9246	0.1959	1
Cell26	Epithelial cell	0.6082	0.9845	1
Cell27	Immune (myeloid)	0.9362	0.1765	1
Cell28	Adipocyte	0.7214	0.0241	1
Cell29	Epithelial cell	0.8038	0.275	1
Cell30	Adipocyte	0.9586	0.3531	1
Cell31	Endothelial cell	0.7406	0.5759	1
Cell32	Endothelial cell	0.5349	0.1939	1
Cell33	Adipocyte	0.6522	0.7657	1
Cell34	Epithelial cell	0.6892	0.0275	1
Cell35	Muscle	0.7682	0.8395	1
Cell36	Fibroblast	0.8251	0.7236	1
Cell37	Epithelial cell	0.5126	0.304	1
Cell38	Adipocyte	0.9321	0.4803	1
Cell39	Epithelial cell	0.723	0.3837	1
Cell40	Fibroblast	0.9552	0.1144	1
Cell41	Epithelial cell	0.7118	0.5713	1
Cell42	Epithelial cell	0.557	0.0815	1
Cell43	Fibroblast	0.5731	0.7504	1
Cell44	Epithelial cell	0.7291	0.4109	1
Cell45	Adipocyte	0.5579	0.3193	1
Cell46	Epithelial cell	0.7108	0.3222	1
Cell47	Epithelial cell	0.9576	0.7903	1
Cell48	Adipocyte	0.9366	0.0755	1
Cell49	Epithelial cell	0.6505	0.7914	1
Cell50	Epithelial cell	0.9211	0.0101	1
