Cell	annotation	x.loc	y.loc
Cell1	CellType2	0.2089	0.2947
Cell2	CellType1	0.1988	0.9414
Cell3	CellType1	0.8358	0.74
Cell4	CellType1	0.7013	0.4357
Cell5	CellType2	0.343	0.6398
Cell6	CellType1	0.3385	0.1093
Cell7	CellType1	0.5518	0.428
Cell8	CellType1	0.2149	0.8852
Cell9	CellType2	0.1402	0.3877
Cell10	CellType1	0.6791	0.1342
Cell11	CellType2	0.3932	0.9866
Cell12	CellType1	0.583	0.7727
Cell13	CellType2	0.5281	0.4631
Cell14	CellType1	0.2842	0.7146
Cell15	CellType1	0.9403	0.7939
Cell16	CellType2	0.8234	0.0401
Cell17	CellType1	0.2623	0.1992
Cell18	CellType2	0.1394	0.7712
Cell19	CellType2	0.4648	0.0892
Cell20	CellType1	0.8795	0.484
Cell21	CellType1	0.3691	0.1216
Cell22	CellType1	0.7108	0.6822
Cell23	CellType2	0.6405	0.3451
Cell24	CellType2	0.6557	0.8629
Cell25	CellType2	0.2914	0.9479
Cell26	CellType1	0.8068	0.0263
Cell27	CellType2	0.5451	0.9471
Cell28	CellType1	0.4278	0.971
Cell29	CellType2	0.5263	0.1522
Cell30	CellType1	0.9017	0.7289
Cell31	CellType1	0.0773	0.4621
Cell32	CellType1	0.3132	0.4675
Cell33	CellType1	0.7254	0.5835
Cell34	CellType1	0.1548	0.2501
Cell35	CellType2	0.475	0.2556
Cell36	CellType1	0.654	0.7289
Cell37	CellType1	0.0613	0.6994
Cell38	CellType1	0.7027	0.92
Cell39	CellType1	0.3388	0.6772
Cell40	CellType2	0.129	0.9462
Cell41	CellType1	0.4856	0.6296
Cell42	CellType2	0.962	0.8334
Cell43	CellType1	0.9284	0.2855
Cell44	CellType1	0.6735	0.0268
Cell45	CellType2	0.5724	0.3486
Cell46	CellType2	0.7254	0.4474
Cell47	CellType1	0.9453	0.9076
Cell48	CellType2	0.2658	0.3598
Cell49	CellType1	0.4321	0.0797
Cell50	CellType1	0.9806	0.8542
Cell51	CellType1	0.9235	0.3544
Cell52	CellType1	0.9107	0.0421
Cell53	CellType1	0.5337	0.2271
Cell54	CellType2	0.3813	0.6559
Cell55	CellType1	0.2942	0.9459
Cell56	CellType1	0.3518	0.0841
Cell57	CellType2	0.0253	0.3527
