"CellType2" "CellType1" "CellType3" "CellType2" "CellType3" "CellType2" "CellType3" "CellType1" "CellType1" "CellType3" "CellType3" "CellType2" "CellType2" "CellType3" "CellType1" "CellType2" "CellType3" "CellType1" "CellType3" "CellType2" "CellType1" "CellType1" "CellType1" "CellType3" "CellType1" "CellType2" "CellType3" "CellType3" "CellType1" "CellType2" "CellType1" "CellType1" "CellType1" "CellType1" "CellType1" "CellType3" "CellType1" "CellType1" "CellType3" "CellType1" "CellType1" "CellType2" "CellType1" "CellType3" "CellType3" "CellType2" "CellType3" "CellType2" "CellType2" "CellType1"
"Gene1" 1 0 1 2 0 0 0 2 4 2 1 1 3 2 0 2 2 5 2 1 2 0 2 3 0 2 2 0 0 1 1 2 3 1 1 2 0 1 4 1 1 0 1 4 0 3 3 2 3 1
"Gene2" 2 2 7 3 2 3 2 2 2 3 1 1 2 1 1 3 0 2 3 1 4 0 0 1 3 3 2 1 2 3 1 3 0 2 0 3 2 1 2 2 0 3 3 1 1 3 3 1 7 4
"Gene3" 0 1 5 1 2 1 1 0 2 2 3 0 2 2 2 4 2 2 1 1 2 1 0 4 2 4 3 2 1 1 1 4 1 3 4 2 1 2 1 1 2 4 3 0 2 3 1 4 2 3
"Gene4" 4 0 2 5 1 0 1 2 1 2 1 3 2 2 0 1 2 0 1 2 2 0 2 6 1 0 4 2 2 3 1 2 1 0 1 0 2 1 2 1 2 3 5 3 0 2 2 2 6 0
"Gene5" 3 5 4 3 2 3 3 1 2 2 1 2 6 3 4 0 3 1 1 2 2 2 1 1 3 1 2 2 0 2 2 2 2 1 0 0 1 0 2 4 0 0 2 0 1 0 2 0 1 4
"Gene6" 2 6 5 1 2 2 7 1 1 3 1 1 2 1 3 1 3 0 2 0 2 1 1 3 1 1 2 1 2 0 3 2 2 3 2 1 2 3 2 1 1 2 1 3 2 4 1 5 2 3
"Gene7" 4 4 2 1 0 1 2 5 2 6 1 1 3 1 2 2 2 1 2 1 3 1 3 2 0 0 2 2 2 3 3 1 2 3 0 5 1 0 3 3 1 3 0 1 1 1 4 4 1 1
"Gene8" 0 2 2 1 2 1 3 2 2 1 1 3 3 0 3 1 3 1 3 5 2 1 4 0 1 0 1 0 3 1 3 5 2 3 7 4 1 2 1 0 3 5 3 0 0 0 2 1 0 2
"Gene9" 2 3 2 1 1 2 3 5 3 1 3 3 2 1 1 1 3 3 2 1 0 1 3 0 2 1 2 1 4 2 1 0 0 3 0 1 3 1 0 2 1 3 4 3 1 3 3 0 0 2
"Gene10" 5 3 2 1 2 1 0 2 2 5 3 2 0 2 6 2 1 2 4 3 2 3 6 0 5 0 2 2 1 0 7 2 5 1 1 1 4 0 3 3 0 1 1 5 0 2 4 4 1 3
"Gene11" 1 0 0 4 0 3 0 0 2 2 0 1 2 1 0 3 1 1 2 2 3 2 2 0 4 3 4 0 3 1 2 0 2 4 4 2 3 2 3 3 3 0 2 1 5 4 1 1 2 2
"Gene12" 7 2 3 3 2 3 2 3 1 2 1 0 2 1 0 1 3 2 4 1 0 1 4 0 2 3 1 1 3 1 4 1 3 3 1 3 1 2 1 2 1 4 3 1 0 0 2 0 2 3
"Gene13" 1 1 2 4 2 0 2 1 1 1 3 2 1 1 1 1 2 3 0 0 2 2 2 2 1 3 2 2 4 2 2 1 0 3 0 2 2 4 3 1 3 1 1 2 1 1 2 1 0 1
"Gene14" 1 4 0 1 2 2 2 4 3 0 2 1 3 3 1 1 2 0 2 0 4 1 4 2 0 2 2 3 1 2 3 3 0 2 0 4 0 2 2 2 0 2 2 0 3 5 0 0 2 2
"Gene15" 3 2 1 4 2 4 2 3 1 2 1 3 0 3 2 0 2 4 4 3 1 2 4 4 2 3 1 3 1 5 2 0 1 1 2 1 0 3 2 1 1 2 1 2 2 0 2 2 3 4
"Gene16" 1 2 3 3 0 0 2 1 2 2 0 2 3 2 2 2 3 2 1 2 1 0 1 1 1 1 2 5 3 4 3 2 1 3 1 1 1 1 3 2 1 1 0 0 3 0 3 3 2 1
"Gene17" 1 7 3 0 3 1 3 1 2 3 4 0 1 1 7 0 0 5 1 2 2 1 0 5 2 2 0 1 0 2 3 2 1 1 2 1 2 6 1 2 2 4 2 1 1 0 2 1 2 1
"Gene18" 3 1 4 1 1 2 1 0 1 2 7 1 2 2 0 3 2 3 6 2 4 0 1 0 2 6 2 3 2 1 1 3 5 1 3 5 4 3 1 0 0 2 0 1 3 2 5 1 1 2
"Gene19" 2 2 3 1 0 2 6 2 2 0 2 2 1 0 3 0 2 2 1 3 3 3 2 1 2 2 3 1 1 0 3 0 0 0 4 1 1 4 0 4 2 1 2 4 1 1 6 2 2 3
"Gene20" 1 1 1 2 0 4 2 0 2 2 1 2 3 0 2 0 1 1 1 2 0 1 4 0 0 0 2 3 2 3 0 1 3 3 2 2 4 0 2 2 2 2 0 2 4 1 3 2 5 2
"Gene21" 2 2 3 2 2 4 4 2 4 3 2 2 4 1 2 1 4 3 0 5 1 5 0 1 1 0 0 4 1 3 2 3 2 3 3 3 0 2 0 2 1 4 6 4 3 3 3 2 3 3
"Gene22" 4 0 1 2 2 4 0 4 3 4 2 2 2 1 3 1 2 2 2 1 0 3 3 2 1 2 1 3 4 3 1 1 4 3 2 3 4 2 2 2 1 0 2 1 1 4 2 1 1 6
"Gene23" 5 1 3 1 3 1 2 2 2 1 1 2 1 3 2 1 1 4 0 1 1 4 2 0 5 0 2 1 4 1 1 2 1 2 1 0 3 2 3 3 1 0 2 2 1 4 0 2 2 2
"Gene24" 4 2 1 0 3 1 1 0 4 4 3 3 1 3 0 1 2 3 3 4 1 2 1 2 1 3 4 0 2 2 3 0 2 1 1 4 3 1 0 1 1 0 4 3 3 2 1 0 2 2
"Gene25" 3 3 4 1 3 3 0 4 1 2 2 2 2 1 3 1 1 1 2 0 1 3 2 2 2 4 0 3 2 1 1 1 2 0 0 2 1 4 0 6 0 2 4 2 2 2 1 2 1 3
"Gene26" 5 2 4 0 3 1 2 2 0 0 1 4 3 1 0 0 2 1 3 3 3 4 2 4 1 4 1 0 1 3 0 1 2 2 3 3 1 2 2 1 1 1 2 2 3 2 1 2 3 1
"Gene27" 2 3 3 1 3 1 3 6 2 2 3 1 2 4 1 6 3 2 2 2 0 2 2 1 2 4 1 1 0 1 3 3 0 0 1 1 4 0 2 1 2 1 3 4 1 2 2 5 2 3
"Gene28" 0 4 0 3 0 3 6 0 4 1 5 1 0 4 0 2 1 2 3 2 1 3 4 1 2 4 1 1 3 2 4 2 2 3 1 2 5 4 1 2 1 0 1 1 0 2 2 4 2 0
"Gene29" 3 1 2 2 1 2 3 2 0 2 1 2 2 4 3 1 0 2 2 0 1 2 4 1 4 0 3 3 2 3 4 1 1 3 3 1 1 3 3 1 2 1 3 1 0 0 1 3 0 2
"Gene30" 2 2 1 0 3 4 3 0 2 1 0 4 1 5 4 3 2 2 2 0 2 0 2 1 2 0 3 3 2 0 0 0 2 3 2 2 4 5 0 2 4 5 0 2 1 3 1 3 2 1
"Gene31" 3 1 4 2 2 1 1 3 1 3 3 3 1 5 2 4 1 3 1 1 3 4 2 3 4 0 1 5 2 4 4 1 1 1 3 1 1 1 2 1 3 1 4 1 2 2 4 5 3 0
"Gene32" 2 4 1 1 2 3 3 2 1 1 0 1 1 1 3 3 0 0 1 5 3 2 2 2 2 1 1 1 2 0 4 1 0 2 2 2 6 2 1 1 2 3 2 2 0 0 0 1 0 0
"Gene33" 2 2 5 0 1 1 2 2 1 0 2 2 1 0 3 1 1 4 4 1 3 6 3 3 2 0 4 1 3 1 4 1 3 3 2 3 1 1 3 3 2 2 2 2 2 1 4 4 3 4
"Gene34" 3 1 3 1 3 1 4 2 3 3 1 2 0 2 1 2 1 2 3 1 0 1 1 2 1 0 2 3 1 2 5 1 2 2 2 6 2 2 2 5 0 1 2 2 3 1 1 2 3 1
"Gene35" 0 0 3 3 2 2 2 1 2 1 3 1 1 3 4 2 0 0 2 2 2 2 3 1 2 3 4 3 2 2 2 1 0 1 1 1 1 3 1 5 2 4 1 1 4 2 1 0 0 3
"Gene36" 0 0 4 2 3 2 2 1 1 2 5 1 2 4 2 1 0 2 2 1 1 1 1 2 1 3 2 5 1 0 1 2 2 3 1 1 0 0 1 1 1 1 5 3 0 4 1 3 4 1
"Gene37" 2 4 2 2 0 2 1 4 3 0 0 3 1 1 3 2 5 2 3 1 2 1 2 3 2 3 0 1 0 1 2 2 5 1 0 0 0 1 3 2 3 1 1 3 3 1 3 2 3 1
"Gene38" 0 4 0 3 2 1 4 1 2 1 1 1 3 2 2 1 0 3 3 3 2 0 1 3 2 2 0 3 1 2 1 2 2 1 1 5 0 4 3 2 2 6 4 1 2 0 3 1 1 1
"Gene39" 3 4 3 2 2 1 0 2 2 3 0 3 6 2 2 2 1 1 2 3 1 3 1 2 3 1 3 1 0 2 3 2 3 3 2 4 2 1 1 1 1 1 1 2 1 4 1 2 0 2
"Gene40" 1 1 1 2 0 1 1 1 1 4 3 1 1 0 3 0 1 4 1 4 2 3 1 2 3 2 2 1 3 3 3 2 1 1 0 2 1 0 0 0 3 1 4 1 3 5 0 2 1 3
"Gene41" 1 3 5 2 0 0 3 3 3 4 2 1 3 1 2 0 2 3 5 4 0 0 1 5 3 1 1 1 4 6 0 3 1 3 4 1 3 5 3 4 3 2 1 4 1 2 1 4 1 0
"Gene42" 1 1 3 2 3 2 2 5 2 2 2 1 2 1 0 2 2 2 1 3 3 3 1 1 2 1 2 1 0 2 1 1 2 2 3 5 1 3 2 0 3 0 2 4 1 3 3 0 2 2
"Gene43" 2 1 3 1 2 1 2 4 1 6 0 0 1 3 4 3 3 3 1 1 2 1 2 3 0 1 1 0 1 1 2 2 1 1 1 1 2 1 3 2 4 2 4 2 1 0 1 2 2 0
"Gene44" 4 1 2 0 4 3 4 2 1 3 2 0 6 0 3 4 2 2 2 3 2 3 1 3 1 3 2 0 1 1 2 0 6 1 3 1 3 1 2 2 2 1 2 1 1 1 1 2 2 2
"Gene45" 2 1 1 1 2 4 0 0 1 0 0 2 5 3 3 2 0 1 1 1 2 1 3 2 4 2 0 2 1 2 0 4 3 1 1 5 2 1 0 3 3 1 3 2 0 1 2 1 3 0
"Gene46" 2 1 1 1 2 1 5 4 3 0 2 0 1 1 3 1 3 1 2 4 2 2 1 0 3 3 2 0 3 1 2 1 3 2 1 3 2 1 1 1 0 2 3 3 3 1 2 1 0 1
"Gene47" 2 1 2 4 1 2 2 2 0 2 1 2 0 3 3 1 1 1 2 3 1 2 2 1 2 1 4 0 3 2 2 5 1 1 3 2 1 2 2 1 1 1 1 3 1 4 3 1 1 0
"Gene48" 0 2 2 1 1 1 0 0 2 2 2 2 1 3 0 0 1 0 3 2 0 2 3 2 2 1 5 2 1 2 1 2 3 3 2 8 2 4 4 1 3 3 1 1 4 0 1 1 1 3
"Gene49" 3 2 5 1 2 1 2 2 2 0 2 0 2 0 2 1 2 3 1 1 1 1 3 1 3 1 1 1 4 0 3 6 5 2 5 1 1 0 1 2 0 0 1 1 2 1 3 2 2 0
"Gene50" 2 0 4 1 3 2 0 4 1 1 4 4 1 2 1 3 1 2 1 1 3 5 2 3 3 3 1 0 0 1 2 1 4 3 2 2 2 0 0 1 1 2 2 3 3 1 3 1 3 2
"Gene51" 0 2 2 4 3 0 1 8 2 1 1 6 1 2 2 1 5 0 6 4 2 2 2 0 3 3 6 1 0 4 1 2 4 3 4 1 0 4 4 5 0 2 1 2 2 1 4 1 1 2
"Gene52" 4 1 2 0 2 1 5 1 3 1 3 1 1 3 2 2 2 2 3 0 1 0 2 3 4 4 4 2 4 2 4 1 3 0 2 1 1 5 3 2 2 4 3 0 1 3 3 2 1 1
"Gene53" 1 1 1 1 0 1 2 1 1 4 1 1 0 4 6 2 1 2 3 1 1 1 5 0 1 1 0 0 5 6 2 2 2 1 3 4 1 2 2 0 0 1 3 2 1 1 0 4 0 4
"Gene54" 1 2 2 1 2 2 3 2 3 2 0 0 4 3 3 1 3 3 2 2 2 0 0 1 2 4 4 1 1 1 1 3 0 0 0 2 3 1 2 5 0 0 4 1 1 1 5 3 2 1
"Gene55" 1 4 2 0 0 1 0 2 4 2 1 0 2 2 2 2 2 1 2 4 0 3 5 3 2 0 3 1 0 1 1 0 1 2 0 1 2 5 4 3 0 2 0 2 3 1 2 2 2 2
"Gene56" 1 4 1 0 0 2 2 1 1 0 1 2 0 1 4 0 2 0 3 1 2 4 2 2 2 2 2 2 1 3 1 1 1 3 2 1 3 1 1 0 2 2 2 2 2 3 0 1 1 1
"Gene57" 3 3 3 1 4 5 5 0 4 3 1 1 1 0 1 1 2 6 3 1 3 1 2 1 3 1 2 1 0 1 2 1 2 3 3 0 2 1 2 3 2 3 1 1 0 4 3 1 0 1
"Gene58" 3 2 1 2 0 4 1 3 0 2 1 0 1 4 3 4 1 1 1 1 0 2 2 0 4 1 3 2 0 2 3 2 2 1 3 2 1 5 1 3 3 2 3 2 0 2 4 3 3 1
"Gene59" 1 4 1 4 1 1 2 1 1 2 6 2 2 4 2 2 1 2 1 2 3 2 2 1 3 2 1 0 1 1 2 3 2 2 0 3 1 3 1 3 1 0 2 4 0 2 2 2 2 2
"Gene60" 3 5 1 0 8 0 4 1 1 4 1 0 1 1 0 3 5 3 4 6 4 2 1 0 3 2 0 2 1 1 1 3 1 3 1 2 0 3 0 3 2 4 3 1 1 2 0 2 1 5
"Gene61" 2 3 0 1 2 2 2 3 7 1 1 2 1 3 4 3 2 3 1 3 4 1 3 2 2 2 2 2 2 6 3 7 0 0 2 2 4 0 2 0 1 0 4 2 4 1 5 1 0 2
"Gene62" 3 2 4 1 3 2 1 0 0 0 2 0 4 1 1 1 0 2 0 4 3 1 3 2 3 1 1 1 0 2 2 2 2 1 2 3 3 2 2 2 2 3 2 0 2 1 5 3 2 3
"Gene63" 2 3 2 4 0 1 3 4 3 2 2 1 2 1 2 3 0 4 2 1 2 0 0 1 2 2 5 4 0 2 2 2 0 1 2 3 2 0 1 2 2 3 1 1 0 1 4 0 4 0
"Gene64" 1 2 5 1 0 1 2 3 3 2 1 6 1 2 2 3 1 3 1 1 1 0 2 1 2 1 3 0 0 3 1 3 0 0 4 3 1 1 2 3 0 2 0 2 0 2 3 1 1 2
"Gene65" 3 1 6 3 3 2 1 5 1 3 2 1 2 2 1 2 2 0 0 2 5 3 3 2 3 2 1 0 1 5 3 0 2 5 6 4 1 0 2 3 1 1 5 0 1 2 3 1 2 2
