Cell	annotation	x.loc	y.loc
Cell1	CellType1	0.8914428499992937	0.445790839381516
Cell2	CellType1	0.7392577712889761	0.9205889629665762
Cell3	CellType2	0.8981675188988447	0.7327153303194791
Cell4	CellType2	0.41498688980937004	0.23596202791668475
Cell5	CellType2	0.05476214527152479	0.4165131014306098
Cell6	CellType1	0.291465058689937	0.7677014654036611
Cell7	CellType2	0.23275321419350803	0.7476961468346417
Cell8	CellType1	0.49226670316420496	0.8417783519253135
Cell9	CellType2	0.8730426311958581	0.8356974066700786
Cell10	CellType1	0.6327715963125229	0.32790441904217005
Cell11	CellType2	0.5436644875444472	0.23403684375807643
Cell12	CellType2	0.042980801314115524	0.14533877139911056
Cell13	CellType2	0.941804320551455	0.6241698304656893
Cell14	CellType2	0.3300522726494819	0.5688522108830512
Cell15	CellType2	0.02325766859576106	0.5515451289247721
Cell16	CellType2	0.7186630347277969	0.20068272086791694
Cell17	CellType1	0.5819304888136685	0.37002954329364
Cell18	CellType1	0.9360696570947766	0.901570925489068
Cell19	CellType2	0.5814436906948686	0.2959515859838575
Cell20	CellType1	0.43947305087931454	0.3606348379980773
Cell21	CellType2	0.8022491072770208	0.6080260581802577
Cell22	CellType1	0.8623266885988414	0.13326929067261517
Cell23	CellType1	0.8544409316964447	0.5737327940296382
Cell24	CellType1	0.577391155064106	0.5159959336742759
Cell25	CellType2	0.4739950851071626	0.02809214498847723
Cell26	CellType1	0.04122996865771711	0.6222057319246233
Cell27	CellType2	0.8722940282896161	0.353261444484815
Cell28	CellType2	0.9162321286275983	0.7471223003230989
Cell29	CellType1	0.7380812827032059	0.2174837402999401
Cell30	CellType1	0.060347989900037646	0.20755418646149337
Cell31	CellType2	0.2896440248005092	0.6420594060327858
Cell32	CellType2	0.1901975350920111	0.09627765626646578
Cell33	CellType2	0.45257544214837253	0.0832791356369853
Cell34	CellType2	0.7002870878204703	0.4451984711922705
Cell35	CellType2	0.8183220154605806	0.16507085761986673
Cell36	CellType2	0.47207729471847415	0.1099602491594851
Cell37	CellType1	0.8646281308028847	0.2530857885722071
Cell38	CellType2	0.3204416169319302	0.7204489535652101
Cell39	CellType1	0.2755740580614656	0.5408712506759912
Cell40	CellType1	0.0020486870780587196	0.38497766107320786
Cell41	CellType2	0.023608788615092635	0.05976835894398391
Cell42	CellType1	0.11299797822721303	0.26783341635018587
Cell43	CellType1	0.39208728121593595	0.08974665845744312
Cell44	CellType2	0.1862672904971987	0.21857587061822414
Cell45	CellType1	0.41470838780514896	0.5132233204785734
Cell46	CellType2	0.50561219942756	0.2850776796694845
Cell47	CellType2	0.0064576780423521996	0.48085590777918696
Cell48	CellType2	0.05474395281635225	0.10185235599055886
Cell49	CellType2	0.04302363214083016	0.501102487090975
Cell50	CellType1	0.5877471161074936	0.9510253153275698
Cell51	CellType2	0.3145270603708923	0.09907311317510903
Cell52	CellType2	0.14180685696192086	0.7904511874075979
Cell53	CellType2	0.5684003424830735	0.22344757965765893
