Cell	annotation	x.loc	y.loc	region
Cell1	CellType1	0.3882144815938118	0.007856148389706198	1
Cell2	CellType1	0.2961940859740472	0.35826754813728906	1
Cell3	CellType1	0.11617509060940508	0.5098141503156979	1
Cell4	CellType1	0.4009875196415889	0.37466498861682923	1
Cell5	CellType1	0.021143315994945927	0.8384630759741019	1
Cell6	CellType1	0.17704759051685534	0.6396658816325171	1
Cell7	CellType2	0.38191532124927163	0.43016514878933326	1
Cell8	CellType1	0.2652565593896374	0.23299485635714923	1
Cell9	CellType2	0.4502089418743756	0.2704924336682057	1
Cell10	CellType1	0.010296264756918656	0.8063123329158028	1
Cell11	CellType2	0.0178765356522008	0.6848934927272362	1
Cell12	CellType1	0.3119061150386428	0.014806878779129945	1
Cell13	CellType2	0.23872009713906944	0.9155732936977695	1
Cell14	CellType1	0.2736019695615487	0.4981039167035264	1
Cell15	CellType2	0.029527050592520768	0.5953464462664638	1
Cell16	CellType1	0.00916969084635037	0.2429911570320455	1
Cell17	CellType1	0.3421822470576153	0.9785144784866454	1
Cell18	CellType1	0.014203959494628125	0.9427718193529768	1
Cell19	CellType1	0.2405539460980195	0.4611066890476614	1
Cell20	CellType1	0.1429609603932557	0.2857069998257668	1
Cell21	CellType2	0.10038670173369678	0.5643723691284886	1
Cell22	CellType1	0.3758906834737269	0.9715304053345285	1
Cell23	CellType2	0.49341120582804093	0.6165781955539533	1
Cell24	CellType1	0.08088836967499785	0.4516989483983857	1
Cell25	CellType1	0.44550946503928057	0.9482526838365959	1
Cell26	CellType1	0.27192188854543703	0.1907134841412432	1
Cell27	CellType1	0.24074512938454684	0.5131351528095065	1
Cell28	CellType2	0.13841177148927192	0.2027527398539215	1
Cell29	CellType1	0.45334455523036526	0.9556727593100091	1
Cell30	CellType1	0.14130535932003996	0.4812152296443099	1
Cell31	CellType2	0.004345949975638188	0.33033584226110974	1
Cell32	CellType1	0.23316753703799023	0.4355270412440235	1
Cell33	CellType2	0.1158039852350525	0.6275864973038403	1
Cell34	CellType1	0.024690277226257648	0.618019395645011	1
Cell35	CellType1	0.2382000076312681	0.7823585910754771	1
Cell36	CellType1	0.49240226201434945	0.09650899888925044	1
Cell37	CellType1	0.20625173016505022	0.1026844262459307	1
Cell38	CellType1	0.1791282500274086	0.8969411621735143	1
Cell39	CellType1	0.2581538906045184	0.5929949149008596	1
Cell40	CellType1	0.4257576473937083	0.09636513093451313	1
Cell41	CellType1	0.17518632055096367	0.11059849205638381	1
Cell42	CellType1	0.24457268329580184	0.88109107692349	1
Cell43	CellType1	0.04184660732670048	0.6988697736199755	1
Cell44	CellType1	0.1759769231249331	0.3561050972504253	1
Cell45	CellType2	0.01550478774637219	0.3842112448437101	1
Cell46	CellType2	0.15857710485187895	0.7501601481566235	1
Cell47	CellType2	0.09509521105277077	0.5726216393670983	1
Cell48	CellType2	0.2986149047894526	0.622912952171026	1
Cell49	CellType1	0.3408727731553526	0.30137511282617296	1
Cell50	CellType2	0.4065696040437253	0.1419991657469439	1
Cell51	CellType1	0.4801227269892842	0.6492743288163686	1
Cell52	CellType2	0.3564812336960099	0.8504748999723684	1
Cell53	CellType1	0.3340588868560517	0.4851849325105357	1
Cell54	CellType1	0.3279832023327576	0.10915229811442487	1
Cell55	CellType1	0.20972501321333337	0.4615739192158026	1
Cell56	CellType2	0.47022363026069625	0.3811911844742949	1
Cell57	CellType2	0.2669235185036951	0.9739434454975545	1
Cell58	CellType1	0.05932393877448684	0.0110337230376499	1
Cell59	CellType1	0.051241217417768443	0.30568074771962156	1
Cell60	CellType1	0.4668601779928216	0.28706389545682465	1
Cell61	CellType1	0.3146123899245174	0.9249690844592433	1
Cell62	CellType1	0.2226175177030596	0.0398392562418447	1
Cell63	CellType2	0.18467798405820243	0.2596055059632822	1
Cell64	CellType1	0.12541973587060118	0.07987811661653764	1
Cell65	CellType1	0.08140237982639986	0.06509187980754808	1
Cell66	CellType1	0.46266893886428695	0.4252956193672549	1
Cell67	CellType1	0.33778010694339516	0.2924765920275711	1
Cell68	CellType2	0.2790846545759705	0.10456662720750032	1
Cell69	CellType1	0.41761598796817573	0.28245029619557693	1
Cell70	CellType1	0.1243108943635153	0.7607345977675809	1
Cell71	CellType2	0.3842049343794192	0.9341232898706895	1
