Cell	annotation	x.loc	y.loc	region
Cell1	CellType1	0.08735397248528898	0.2422047471627593	1
Cell2	CellType1	0.4131513105239719	0.48003187915310264	1
Cell3	CellType2	0.09805779485031962	0.8404845893383026	1
Cell4	CellType1	0.06460717646405101	0.24423468695022166	1
Cell5	CellType1	0.389949967386201	0.6230387217365205	1
Cell6	CellType2	0.3840579215902835	0.8483723369427025	1
Cell7	CellType2	0.1122560037765652	0.727033655392006	1
Cell8	CellType1	0.15982982167042792	0.1913045982364565	1
Cell9	CellType2	0.2768616450484842	0.17243788996711373	1
Cell10	CellType1	0.4215116067789495	0.9427160620689392	1
Cell11	CellType1	0.42700371728278697	0.3214479167945683	1
Cell12	CellType2	0.24704744690097868	0.7098469871561974	1
Cell13	CellType1	0.4942125272937119	0.7653706280980259	1
Cell14	CellType2	0.22248331899754703	0.21636146353557706	1
Cell15	CellType2	0.0904524247162044	0.4491865176241845	1
Cell16	CellType2	0.07787106651812792	0.3941957061178982	1
Cell17	CellType1	0.19976865593343973	0.5748221334069967	1
Cell18	CellType1	0.33463485026732087	0.6777194219175726	1
Cell19	CellType1	0.4712841040454805	0.5741241942159832	1
Cell20	CellType1	0.21665267320349813	0.757154627237469	1
Cell21	CellType1	0.40233230916783214	0.48890684731304646	1
Cell22	CellType1	0.4018557113595307	0.8138593237381428	1
Cell23	CellType1	0.438948015216738	0.6955085631925613	1
Cell24	CellType1	0.13344272901304066	0.8298571803607047	1
Cell25	CellType2	0.10940948966890574	0.5546008478850126	1
Cell26	CellType2	0.11398887494578958	0.4767293317709118	1
Cell27	CellType2	0.4514203288126737	0.12162411794997752	1
Cell28	CellType1	0.3856552098877728	0.24042186490260065	1
Cell29	CellType2	0.08051056182011962	0.645915315952152	1
Cell30	CellType1	0.42859086440876126	0.5869185961782932	1
Cell31	CellType2	0.09189126640558243	0.37564311479218304	1
Cell32	CellType2	0.18876780360005796	0.4542722476180643	1
Cell33	CellType1	0.32509440276771784	0.4406785280443728	1
Cell34	CellType1	0.21276607899926603	0.33959658979438245	1
Cell35	CellType1	0.06166054820641875	0.29016256774775684	1
Cell36	CellType2	0.3408940336667001	0.14122380735352635	1
Cell37	CellType1	0.360480586765334	0.5652997796423733	1
Cell38	CellType2	0.2978412420488894	0.4124556554015726	1
Cell39	CellType2	0.49687562393955886	0.9420326028484851	1
Cell40	CellType1	0.023865765426307917	0.44116149470210075	1
Cell41	CellType2	0.4247858708258718	0.8622802717145532	1
Cell42	CellType1	0.10980605334043503	0.1921778975520283	1
Cell43	CellType2	0.2892695260234177	0.4321963218972087	1
Cell44	CellType1	0.4152005654759705	0.5505966893397272	1
Cell45	CellType1	0.36074670497328043	0.9597709951922297	1
Cell46	CellType2	0.4799709068611264	0.41127716773189604	1
Cell47	CellType1	0.14154383330605924	0.6976542379707098	1
Cell48	CellType1	0.20632628560997546	0.4576916254591197	1
Cell49	CellType1	0.013799550011754036	0.26531356293708086	1
Cell50	CellType1	0.20986929046921432	0.2291453385259956	1
Cell51	CellType2	0.3716748480219394	0.18965839827433228	1
Cell52	CellType2	0.05464129755273461	0.3389130886644125	1
Cell53	CellType2	0.2571950207930058	0.48192672803997993	1
