parameters	value
path_to_input_dir	/Users/songxiaoyu152/Library/CloudStorage/OneDrive-TheMountSinaiHospital/SpatialTranscriptomics/Paper_Simulator/Github/InputData/
expression_data_file	expression_data/SeqFishPlusCortex_expr_030323.Rdata
expression_data_file_type	Rdata
expression_data_cell_types	"['NeuralStem', 'Astrocyte', 'Neuroblast', 'ExcitatoryNeuron', 'Interneuron', 'Endothelial', 'Microglia', 'Oligodendrocyte']"
simulate_spatial_data	TRUE
spatial_data_file	spatial_data/SeqFishPlusCortex_loc_030323.Rdata
num_simulated_cells	1000
cell_overlap_cutoff	0.02
window_method	network
expr_depth_ratio	1
gene_cor	FALSE
copula_input	NULL
num_simulated_datasets	2
parent_simulation_seed	123
simulation_seed_for_each_dataset	"123,233"
path_to_output_dir	/Users/songxiaoyu152/Library/CloudStorage/OneDrive-TheMountSinaiHospital/SpatialTranscriptomics/Paper_Simulator/Github/OutputData/
output_name	ST_input_new_cells_simple
