parameters	value
path_to_input_dir	/Users/songxiaoyu152/Dropbox/SpatialTranscriptomics/Paper_Simulator/Github/InputData/
expression_data_file	expression_data/snRNAseq_breast_expr_030123.RData
expression_data_file_type	Rdata
expression_data_cell_types	"['Endothelial cell', 'Adipocyte', 'Immune (myeloid)', 'Muscle', 'Epithelial cell', 'Fibroblast']"
spatial_data_file	NULL
simulate_spatial_data	TRUE
num_simulated_cells	10000
num_regions	2
custom_cell_type_proportions	TRUE
cell_type_proportion_0	"1,Epithelial cell,0.5"
cell_type_proportion_1	"1,Adipocyte,0.5"
cell_type_proportion_2	"1,Immune (myeloid),0"
cell_type_proportion_3	"1,Endothelial cell,0"
cell_type_proportion_4	"1,Fibroblast,0"
cell_type_proportion_5	"1,Muscle,0"
cell_type_proportion_6	"2,Epithelial cell,0"
cell_type_proportion_7	"2,Adipocyte,0"
cell_type_proportion_8	"2,Immune (myeloid),0.5"
cell_type_proportion_9	"2,Endothelial cell,0.5"
cell_type_proportion_10	"2,Fibroblast,0"
cell_type_proportion_11	"2,Muscle,0"
custom_cell_location_interactions	FALSE
cell_even_distribution	0
cell_overlap_cutoff	0.02
expr_depth_ratio	1
gene_cor	TRUE
copula_input	copula_data/snRNAseq_breast_Copula_030123.Rdata
num_simulated_datasets	1
parent_simulation_seed	123
simulation_seed_for_each_dataset	123
path_to_output_dir	/Users/songxiaoyu152/Dropbox/SpatialTranscriptomics/Paper_Simulator/Github/OutputData/
output_name	expr_input_simple
