parameters	value
path_to_input_dir	/Users/songxiaoyu152/Dropbox/SpatialTranscriptomics/Paper_Simulator/Github/InputData/
expression_data_file	expression_data/fake1_expr.Rdata
expression_data_file_type	Rdata
expression_data_cell_types	WEIJIA TO ADD
simulate_spatial_data	TRUE
cell_feature_data_file	cell_feature_data/fake1_cellfeature.Rdata
num_simulated_cells	10000
num_regions	1
custom_cell_type_proportions	TRUE
cell_type_proportion_0	"1,CellType1,0.5"
cell_type_proportion_1	"1,CellType2,0.5"
custom_cell_location_interactions	FALSE
cell_even_distribution	0
cell_overlap_cutoff	0.02
expr_depth_ratio	1
gene_cor	TRUE
copula_input	NULL
region_specific_model	FALSE
save_copula	TRUE
spatial_int_dist_1_region	NULL
spatial_int_dist_1_cell_type_perturbed	CellType1
spatial_int_dist_1_cell_type_adj	CellType2
spatial_int_dist_1_dist_cutoff	0.1
spatial_int_dist_1_gene_id1	Gene3
spatial_int_dist_1_gene_prop	NULL
spatial_int_dist_1_mean	1
spatial_int_dist_1_sd	0.1
spatial_int_expr_1_region	NULL
spatial_int_expr_1_cell_type_perturbed	CellType1
spatial_int_expr_1_cell_type_adj	CellType2
spatial_int_expr_1_dist_cutoff	0.1
spatial_int_expr_1_gene_id1	"Gene4,Gene5,Gene6"
spatial_int_expr_1_gene_id2	"Gene7,Gene8,Gene9"
spatial_int_expr_1_gene_prop	NULL
spatial_int_expr_1_bidirectional	TRUE
spatial_int_expr_1_mean	2
spatial_int_expr_1_sd	0.1
num_simulated_datasets	1
parent_simulation_seed	123
simulation_seed_for_each_dataset	123
path_to_output_dir	/Users/songxiaoyu152/Dropbox/SpatialTranscriptomics/Paper_Simulator/Github/OutputData/
output_name	fake1_1region_expand
