parameters	value
path_to_input_dir	/Users/songxiaoyu152/Dropbox/SpatialTranscriptomics/Paper_Simulator/Github/InputData/
expression_data_file	expression_data/fake1_expr.Rdata
cell_feature_data_file	cell_feature_data/fake1_cellfeature.Rdata
expression_data_file_type	Rdata
expression_data_cell_types	WEIJIA TO ADD
simulate_spatial_data	TRUE
num_simulated_cells	10000
num_regions	2
custom_cell_type_proportions	TRUE
cell_type_proportion_0	"1,CellType1,0.5"
cell_type_proportion_1	"1,CellType2,0.5"
cell_type_proportion_6	"2,CellType1,0.1"
cell_type_proportion_7	"2,CellType2,0.9"
custom_cell_location_interactions	FALSE
cell_even_distribution	0
cell_overlap_cutoff	0.02
expr_depth_ratio	1
gene_cor	FALSE 
copula_input	NULL
region_specific_model	NULL
save_copula	NULL
num_simulated_datasets	1
parent_simulation_seed	123
simulation_seed_for_each_dataset	123
path_to_output_dir	/Users/songxiaoyu152/Dropbox/SpatialTranscriptomics/Paper_Simulator/Github/OutputData/
output_name	fake1_simple
