parameters	value
path_to_input_dir	/Users/songxiaoyu152/Dropbox/SpatialTranscriptomics/Paper_Simulator/Github/
expression_data_file	InputData/expression_data/snRNAseq_breast_expr_033023.RData
cell_feature_data_file	InputData/cell_feature_data/snRNAseq_breast_cellfeature_033023.RData
expression_data_file_type	Rdata
expression_data_cell_types	"Adipocyte,Endothelial cell,Epithelial cell,Fibroblast,Immune (myeloid),Muscle"
simulate_spatial_data	TRUE
num_simulated_cells	500
num_regions	1
custom_cell_type_proportions	FALSE
cell_type_proportion_1	"1,Adipocyte,0.2"
cell_type_proportion_2	"1,Endothelial cell,0.2"
cell_type_proportion_3	"1,Epithelial cell,0.2"
cell_type_proportion_4	"1,Fibroblast,0.2"
cell_type_proportion_5	"1,Immune (myeloid),0.2"
custom_cell_location_interactions	"Adipocyte,Epithelial cell,-2;Endothelial cell,Endothelial cell,2;"
cell_even_distribution	0
cell_overlap_cutoff	0.01
expr_depth_ratio	1
region_specific_model	NULL
gene_cor	FALSE
num_spots	NULL
num_simulated_datasets	1
parent_simulation_seed	789
simulation_seed_for_each_dataset	789
path_to_output_dir	/Users/songxiaoyu152/Dropbox/SpatialTranscriptomics/Paper_Simulator/Github/OutputData/
output_name	fig2c
