Type	Region	CellType	GeneID	AdjCellType	AdjGene	beta
DistanceAssoGenes	1	Epithelial	CGGBP1	Adipocyte	NA	0.21142603955420858
DistanceAssoGenes	1	Epithelial	ST6GALNAC4	Adipocyte	NA	0.1599362840901361
DistanceAssoGenes	1	Epithelial	ATE1	Adipocyte	NA	0.1855508004980449
DistanceAssoGenes	1	Epithelial	SYCE1L	Adipocyte	NA	0.1943429238893105
DistanceAssoGenes	1	Epithelial	GAK	Adipocyte	NA	0.20118986777651002
DistanceAssoGenes	1	Epithelial	TM6SF2	Adipocyte	NA	0.1856207461744661
DistanceAssoGenes	1	Epithelial	KRR1	Adipocyte	NA	0.2336646538182613
DistanceAssoGenes	1	Epithelial	MUC4	Adipocyte	NA	0.1658768237674203
DistanceAssoGenes	1	Epithelial	MDGA1	Adipocyte	NA	0.17855161512303874
DistanceAssoGenes	1	Epithelial	CLVS2	Adipocyte	NA	0.18327074090329798
DistanceAssoGenes	1	Epithelial	WDR66	Adipocyte	NA	0.20588039188621127
DistanceAssoGenes	1	Epithelial	PLEKHA1	Adipocyte	NA	0.18820914541931133
DistanceAssoGenes	1	Epithelial	HPS4	Adipocyte	NA	0.20200942819534962
DistanceAssoGenes	1	Epithelial	ZNF780A	Adipocyte	NA	0.20396531203621837
DistanceAssoGenes	1	Epithelial	TRPM4	Adipocyte	NA	0.20449055801696456
DistanceAssoGenes	1	Epithelial	TNFRSF8	Adipocyte	NA	0.2135151119825484
DistanceAssoGenes	1	Epithelial	LRRC25	Adipocyte	NA	0.20807084447690924
DistanceAssoGenes	1	Epithelial	TSGA10	Adipocyte	NA	0.19185504390010805
DistanceAssoGenes	1	Epithelial	C4B	Adipocyte	NA	0.18231374207918755
DistanceAssoGenes	1	Epithelial	SETDB1	Adipocyte	NA	0.19411865828454736
DistanceAssoGenes	1	Epithelial	SLC22A1	Adipocyte	NA	0.22680686307822642
DistanceAssoGenes	1	Epithelial	FCHO2	Adipocyte	NA	0.18958775728069613
DistanceAssoGenes	1	Epithelial	PNKP	Adipocyte	NA	0.2533161436193776
DistanceAssoGenes	1	Epithelial	FAM228A	Adipocyte	NA	0.23741504069278557
DistanceAssoGenes	1	Epithelial	PDCD5	Adipocyte	NA	0.20955289213376926
DistanceAssoGenes	1	Epithelial	ADAM11	Adipocyte	NA	0.2108816753222657
DistanceAssoGenes	1	Epithelial	PDGFC	Adipocyte	NA	0.2251745593542184
DistanceAssoGenes	1	Epithelial	C19orf33	Adipocyte	NA	0.2315048975904741
DistanceAssoGenes	1	Epithelial	ATF6B	Adipocyte	NA	0.23050061486219284
DistanceAssoGenes	1	Epithelial	YPEL3	Adipocyte	NA	0.18234138359155436
DistanceAssoGenes	1	Epithelial	SAMD12	Adipocyte	NA	0.2189909117993091
DistanceAssoGenes	1	Epithelial	MFN2	Adipocyte	NA	0.1822530234845856
DistanceAssoGenes	1	Epithelial	CRCP	Adipocyte	NA	0.18742315156723008
DistanceAssoGenes	1	Epithelial	SLFN5	Adipocyte	NA	0.2259471866590769
DistanceAssoGenes	1	Epithelial	TBC1D26	Adipocyte	NA	0.19711094472165694
DistanceAssoGenes	1	Epithelial	YBEY	Adipocyte	NA	0.17248262967147315
DistanceAssoGenes	1	Epithelial	SENP5	Adipocyte	NA	0.1886540188154555
DistanceAssoGenes	1	Epithelial	LEKR1	Adipocyte	NA	0.1971848429966584
DistanceAssoGenes	1	Epithelial	LUC7L2	Adipocyte	NA	0.22367737452942155
DistanceAssoGenes	1	Epithelial	ATAD1	Adipocyte	NA	0.22400984637519453
