Cell	annotation	x.loc	y.loc	region
Cell1	Endothelial	0.2563	0.3773	1
Cell2	Endothelial	0.2191	0.245	1
Cell3	Fibroblast	0.1259	0.7349	1
Cell4	Immune	0.25	0.1334	1
Cell5	Adipocyte	0.6747	0.8448	1
Cell6	Adipocyte	0.6436	0.9189	1
Cell7	Endothelial	0.265	0.3335	1
Cell8	Adipocyte	0.0608	0.0051	1
Cell9	Epithelial	0.1586	0.8495	1
Cell10	Fibroblast	0.6452	0.9198	1
Cell11	Epithelial	0.4885	0.8256	1
Cell12	Fibroblast	0.072	0.8785	1
Cell13	Adipocyte	0.199	0.9506	1
Cell14	Endothelial	0.385	0.6829	1
Cell15	Adipocyte	0.23	0.2945	1
Cell16	Adipocyte	0.2573	0.258	1
Cell17	Epithelial	0.1709	0.559	1
Cell18	Adipocyte	0.2671	0.5948	1
Cell19	Epithelial	0.2329	0.8739	1
Cell20	Adipocyte	0.1399	0.857	1
Cell21	Endothelial	0.2379	0.3542	1
Cell22	Adipocyte	0.0078	0.1375	1
Cell23	Adipocyte	0.673	0.755	1
Cell24	Muscle	0.198	0.7199	1
Cell25	Epithelial	0.1649	0.6134	1
Cell26	Fibroblast	0.4202	0.8041	1
Cell27	Epithelial	0.163	0.7286	1
Cell28	Epithelial	0.0587	0.1497	1
Cell29	Adipocyte	0.3111	0.5257	1
Cell30	Fibroblast	0.5324	0.9045	1
Cell31	Fibroblast	0.2916	0.5713	1
Cell32	Endothelial	0.3762	0.9823	1
Cell33	Epithelial	0.5571	0.7262	1
Cell34	Adipocyte	0.3811	0.8581	1
Cell35	Fibroblast	0.4223	0.4943	1
Cell36	Fibroblast	0.1546	0.6058	1
Cell37	Epithelial	0.5051	0.6052	1
Cell38	Fibroblast	0.2122	0.3677	1
Cell39	Adipocyte	0.3777	0.9302	1
Cell40	Adipocyte	0.1344	0.2461	1
Cell41	Adipocyte	0.5509	0.791	1
Cell42	Epithelial	0.2334	0.3377	1
Cell43	Immune	0.699	0.9908	1
Cell44	Epithelial	0.7796	0.9121	1
Cell45	Adipocyte	0.477	0.7151	1
Cell46	Adipocyte	0.5456	0.9127	1
Cell47	Adipocyte	0.1448	0.5063	1
Cell48	Epithelial	0.4076	0.8241	1
Cell49	Epithelial	0.1238	0.5415	1
Cell50	Epithelial	0.0676	0.1613	1
Cell51	Epithelial	0.3682	0.6466	1
Cell52	Endothelial	0.5725	0.7617	1
Cell53	Immune	0.2934	0.6191	1
Cell54	Adipocyte	0.0116	0.4379	1
Cell55	Epithelial	0.0908	0.7465	1
Cell56	Fibroblast	0.0784	0.9565	1
Cell57	Adipocyte	0.6775	0.7637	1
Cell58	Epithelial	0.1775	0.6038	1
Cell59	Adipocyte	0.652	0.8225	1
Cell60	Adipocyte	0.3218	0.3252	1
Cell61	Epithelial	0.302	0.5316	1
Cell62	Adipocyte	0.1272	0.6666	1
Cell63	Epithelial	0.223	0.4554	1
Cell64	Adipocyte	0.3887	0.421	1
Cell65	Endothelial	0.1223	0.7229	1
Cell66	Endothelial	0.2687	0.7286	1
Cell67	Epithelial	0.2842	0.4764	1
Cell68	Adipocyte	0.0569	0.7601	1
Cell69	Adipocyte	0.5634	0.7089	1
Cell70	Adipocyte	0.2183	0.6829	1
Cell71	Adipocyte	0.5888	0.7536	1
Cell72	Endothelial	0.3969	0.9982	1
Cell73	Fibroblast	0.4923	0.6603	1
