Cell	annotation	x.loc	y.loc
Cell1	Endothelial	8555.1645	707.0797
Cell2	Endothelial	8551.3038	705.6381
Cell3	Endothelial	8552.8122	706.0055
Cell4	Endothelial	8551.0364	705.9691
Cell5	Endothelial	8553.2919	706.1712
Cell6	Endothelial	8549.6421	704.953
Cell7	Endothelial	8554.4985	706.6228
Cell8	Endothelial	8551.4513	705.8226
Cell9	Endothelial	8554.9718	706.9481
Cell10	Endothelial	8555.8264	707.135
Cell11	Endothelial	8555.8103	707.0493
Cell12	Endothelial	8550.8636	705.6807
Cell13	Endothelial	8555.2394	707.3783
Cell14	Endothelial	8550.8914	705.5588
Cell15	Endothelial	8551.6446	705.6176
Cell16	Fibroblast	8553.8534	706.5559
Cell17	Fibroblast	9011.391	145.8896
Cell18	Fibroblast	8552.3525	706.1712
Cell19	Fibroblast	8554.1078	706.758
Cell20	Fibroblast	9160.2043	-121.9865
Cell21	Fibroblast	8948.0015	216.6603
Cell22	Fibroblast	8554.2283	706.6813
Cell23	Fibroblast	8554.4485	706.9857
Cell24	Fibroblast	8550.4523	705.5146
Cell25	Fibroblast	8552.215	705.8391
Cell26	Fibroblast	8549.8295	705.1494
Cell27	Fibroblast	8555.0049	707.0786
Cell28	Fibroblast	9169.8551	-77.8523
Cell29	Fibroblast	8555.462	707.3061
Cell30	Fibroblast	8556.0385	707.6015
Cell31	Fibroblast	9180.6645	-135.4946
Cell32	Fibroblast	9169.2236	-82.8192
Cell33	Fibroblast	8554.5236	707.0852
Cell34	Fibroblast	8553.2437	706.3251
Cell35	Fibroblast	8552.8153	706.0009
Cell36	Fibroblast	8974.1477	-64.6165
Cell37	Fibroblast	8551.2932	705.5839
Cell38	Fibroblast	8555.0951	707.1849
Cell39	Fibroblast	8550.2695	705.6177
Cell40	Fibroblast	8553.9405	706.9185
Cell41	Fibroblast	8550.5173	705.8197
Cell42	Fibroblast	8549.8716	705.5412
Cell43	Fibroblast	8551.0559	705.6179
Cell44	Fibroblast	8988.8592	170.9965
Cell45	Fibroblast	8551.9629	706.3322
Cell46	Fibroblast	9197.6152	-159.1711
Cell47	Fibroblast	8555.7919	707.5088
Cell48	Fibroblast	9208.5556	-120.5553
Cell49	Fibroblast	8552.8892	706.3235
Cell50	Fibroblast	9145.7756	-69.8608
Cell51	Fibroblast	8554.2301	706.7712
Cell52	Fibroblast	8631.2721	598.0517
Cell53	Fibroblast	8553.1675	706.7129
Cell54	Fibroblast	8550.3025	705.377
