unified_int,type_int,original,simulations,enrichm,p_higher_orig,p_lower_orig,p.adj_higher,p.adj_lower,PI_value,int_ranking
Oligodendrocyte--Oligodendrocyte,homo,22,3.657,2.304161073898772,0,1,0,1,7.606104819781178,1
Astrocyte--Astrocyte,homo,18,11.1525,0.6447462844297286,0.021499999999999964,0.991,0.15049999999999975,1,0.5293515626638827,2
Astrocyte--Microglia,hetero,11,7.4075,0.513285626969298,0.11599999999999999,0.9325,0.609,1,0.11036990410093757,3
ExcitatoryNeuron--ExcitatoryNeuron,homo,497,479.541,0.051486214575850654,0.013499999999999956,0.99,0.14174999999999954,1,0.04360613230042345,4
Endothelial--Endothelial,homo,9,7.6495,0.20931135732521883,0.36050000000000004,0.779,0.7540909090909091,1,0.02559635753051824,5
Interneuron--Interneuron,homo,7,5.945,0.20402530579333208,0.377,0.768,0.7540909090909091,1,0.02494993458116682,6
Endothelial--Microglia,hetero,7,6.0265,0.18719375878634467,0.395,0.757,0.7540909090909091,1,0.022891631102138803,7
Astrocyte--Oligodendrocyte,hetero,15,13.1265,0.17966783916608295,0.33199999999999996,0.7595000000000001,0.7540909090909091,1,0.021971298198048696,8
Astrocyte--Endothelial,hetero,21,18.639,0.1637820529451203,0.3085,0.7685,0.7540909090909091,1,0.020028650321883265,9
ExcitatoryNeuron--Interneuron,hetero,113,106.487,0.08487164057201058,0.1755,0.866,0.7371,1,0.011218256383490874,10
ExcitatoryNeuron--Microglia,hetero,50,47.5585,0.07077339048199703,0.31399999999999995,0.7555000000000001,0.7540909090909091,1,0.008654766896425402,11
Endothelial--Interneuron,hetero,14,13.4845,0.05045261659407109,0.47250000000000003,0.6355,0.826875,1,0.00415212955727135,12
Microglia--Microglia,homo,1,1.2125,-0.1456774551956351,0.706,0.6585,1,1,3.162555173534994e-5,13
Endothelial--ExcitatoryNeuron,hetero,121,121.7465,-0.00880074025785713,0.5780000000000001,0.48150000000000004,0.9336923076923078,1,-2.6018255998477564e-4,14
Astrocyte--Interneuron,hetero,13,16.311,-0.3062622397278508,0.85,0.22999999999999998,1,0.69,-0.049258090700138084,15
Interneuron--Microglia,hetero,3,5.285,-0.6519127446457831,0.9095,0.20999999999999996,1,0.69,-0.10485124490982996,16
Interneuron--Oligodendrocyte,hetero,6,9.5425,-0.5907901944468048,0.9235,0.14749999999999996,1,0.6194999999999998,-0.12265295413009931,17
Astrocyte--ExcitatoryNeuron,hetero,128,146.211,-0.1905144118097376,0.9945,0.010000000000000009,1,0.07000000000000006,-0.2194365728924381,18
Endothelial--Oligodendrocyte,hetero,5,10.8045,-0.9763025291849271,0.9875,0.02949999999999997,1,0.15487499999999985,-0.7894566365540254,19
ExcitatoryNeuron--Oligodendrocyte,hetero,60,84.915,-0.49410079248786365,1,0,1,0,-1.6310415368837823,20
Microglia--Oligodendrocyte,hetero,0,4.2975,-2.405311682597445,1,0.008000000000000007,1,0.07000000000000006,-2.7704641730434667,21
