unified_int,type_int,original,simulations,enrichm,p_higher_orig,p_lower_orig,p.adj_higher,p.adj_lower,PI_value,int_ranking
Oligodendrocyte--Oligodendrocyte,homo,11,1.7455,2.127893589438979,0,1,0,1,7.024240566319167,1
Astrocyte--Astrocyte,homo,15,5.781,1.2385019554498986,0,1,0,1,4.088332104628611,2
Endothelial--Microglia,hetero,7,3.295,0.8973418686362612,0.041000000000000036,0.9835,0.17220000000000016,1,0.6844095190304109,3
ExcitatoryNeuron--Interneuron,hetero,73,60.7785,0.26042042840719426,0.007000000000000006,0.998,0.03675000000000003,1,0.37210790706148605,4
Astrocyte--Microglia,hetero,7,3.971,0.6864638967194789,0.09250000000000003,0.963,0.3237500000000001,1,0.3357632316278063,5
Endothelial--Endothelial,homo,7,4.1615,0.6322096072039496,0.11050000000000004,0.956,0.33150000000000013,1,0.3027411040064017,6
Astrocyte--Oligodendrocyte,hetero,9,6.407,0.43303875768551126,0.18700000000000006,0.8985,0.4908750000000002,1,0.13363010650910923,7
ExcitatoryNeuron--ExcitatoryNeuron,homo,269,254.154,0.0815911485247295,0.0050000000000000044,0.9975,0.03500000000000003,1,0.11828853377282349,8
Microglia--Microglia,homo,1,0.6805,0.25110945735408535,0.501,0.8465,0.9564545454545454,1,0.004798372867082021,9
Astrocyte--Endothelial,hetero,11,9.901,0.13857391955945794,0.399,0.7204999999999999,0.9310000000000002,1,0.00427045198580109,10
Endothelial--Interneuron,hetero,8,7.6555,0.05630783965685747,0.494,0.6505000000000001,0.9564545454545454,1,0.0010759690728513066,11
Interneuron--Interneuron,homo,3,3.5985,-0.20116334041506753,0.719,0.5105,1,1,4.3671147474459384e-5,12
ExcitatoryNeuron--Microglia,hetero,24,26.0765,-0.11511316843535446,0.8025,0.29300000000000004,1,0.6836666666666668,-0.018975034695351986,13
Endothelial--ExcitatoryNeuron,hetero,57,64.3895,-0.17300609153677812,0.953,0.07750000000000001,1,0.24450000000000005,-0.10567798832219828,14
Astrocyte--Interneuron,hetero,5,9.253,-0.7730116943230657,0.961,0.08150000000000002,1,0.24450000000000005,-0.4721817600753652,15
ExcitatoryNeuron--Oligodendrocyte,hetero,31,42.5415,-0.44431920395885144,0.9985,0.0030000000000000027,1,0.03150000000000003,-0.6641905716707711,16
Endothelial--Oligodendrocyte,hetero,2,5.436,-1.101201825340203,0.985,0.07150000000000001,1,0.24450000000000005,-0.6726514228774803,17
Microglia--Oligodendrocyte,hetero,0,2.1525,-1.656496370553495,1,0.10399999999999998,1,0.27299999999999996,-0.9326781382128084,18
Interneuron--Oligodendrocyte,hetero,1,4.972,-1.5782141654724544,0.9955,0.03400000000000003,1,0.18375000000000016,-1.1593442948245078,19
Astrocyte--ExcitatoryNeuron,hetero,57,77.906,-0.44408210647672525,1,0,1,0,-1.465928354017316,20
Interneuron--Microglia,hetero,0,3.144,-2.051024003024467,1,0.03500000000000003,1,0.18375000000000016,-1.5066668570565696,21
