NULL,Astrocyte,Oligodendrocyte,179.8352876949504,Ctsd,Lrp1,NULL,TRUE,0.5464050268743151,0
NULL,Endothelial,ExcitatoryNeuron,195.94931467376801,Efnb2,Ephb1,NULL,TRUE,0.23047544546616505,0
NULL,Endothelial,ExcitatoryNeuron,195.94931467376801,Efnb3,Ephb1,NULL,TRUE,0.31644295070693806,0
NULL,Oligodendrocyte,ExcitatoryNeuron,195.67185111510636,Efnb3,Ephb6,NULL,TRUE,0.13101670932778928,0
NULL,Interneuron,ExcitatoryNeuron,196.85844975892158,Efnb3,Ephb6,NULL,TRUE,0.13475603875752035,0
NULL,Oligodendrocyte,Astrocyte,183.0338929342799,Efnb3,Ephb6,NULL,TRUE,-0.5638030357705153,0
NULL,Astrocyte,ExcitatoryNeuron,195.08956282348106,Fn1,Itga2b,NULL,TRUE,0.21260674287636822,0
NULL,Astrocyte,ExcitatoryNeuron,195.08956282348106,Gas6,Axl,NULL,TRUE,-0.8071176286064081,0
NULL,Interneuron,ExcitatoryNeuron,196.85844975892158,Nptx1,Nptxr,NULL,TRUE,0.3151664817357594,0
NULL,ExcitatoryNeuron,Interneuron,195.8241141933541,Nptx1,Nptxr,NULL,TRUE,-0.7766977974506758,0
NULL,Oligodendrocyte,ExcitatoryNeuron,195.67185111510636,Nptx1,Nptxr,NULL,TRUE,-1.575811771285885,0
NULL,Interneuron,ExcitatoryNeuron,196.85844975892158,Nptx2,Nptxr,NULL,TRUE,0.365255764979543,0
NULL,Oligodendrocyte,ExcitatoryNeuron,195.67185111510636,Nptx2,Nptxr,NULL,TRUE,-1.117701628507723,0
NULL,ExcitatoryNeuron,Microglia,191.13497877343391,Sema4d,Plxna2,NULL,TRUE,-0.7412968487714081,0
NULL,ExcitatoryNeuron,Microglia,191.13497877343391,Sema4d,Plxnb1,NULL,TRUE,-1.3802295694905278,0
NULL,ExcitatoryNeuron,Microglia,191.13497877343391,Sema4d,Plxnb2,NULL,TRUE,-0.7127429200828527,0
NULL,Endothelial,Interneuron,191.08681343203017,Sema4d,Plxnb2,NULL,TRUE,-3.3758416373660074,0
NULL,Oligodendrocyte,ExcitatoryNeuron,195.67185111510636,Sema5a,Plxna1,NULL,TRUE,-1.3660690205414603,0
NULL,Astrocyte,ExcitatoryNeuron,195.08956282348106,Sema6b,Plxna4,NULL,TRUE,-0.21183964320802678,0
NULL,Oligodendrocyte,ExcitatoryNeuron,195.67185111510636,Sema6d,Plxna1,NULL,TRUE,-1.6562349638798362,0
NULL,Oligodendrocyte,ExcitatoryNeuron,195.67185111510636,Slit3,Plxna1,NULL,TRUE,-1.140184403197515,0
NULL,Astrocyte,ExcitatoryNeuron,195.08956282348106,Vegfa,Axl,NULL,TRUE,-0.28213207904488025,0
