parameters	value
path_to_input_dir	/Users/songxiaoyu152/NUS Dropbox/Xiaoyu Song/SpatialTranscriptomics/Paper_sCCIgen/Github/sCCIgen_data/input_data
expression_data_file	SeqFishPlusCortex_2025_expr.Rdata
spatial_data_file	SeqFishPlusCortex_2025_spatial.Rdata
expression_data_file_type	Rdata
expression_data_cell_types	Astrocyte,Endothelial,ExcitatoryNeuron,Interneuron,Microglia,Oligodendrocyte
simulate_spatial_data	TRUE
num_simulated_cells	10000
cell_overlap_cutoff	0
custom_cell_location_interactions	FALSE
window_method	network
num_regions	5
region_specific_model	FALSE
expr_depth_ratio	1
gene_cor	FALSE
spatial_pattern_1_region	0
spatial_pattern_1_cell_type	ExcitatoryNeuron
spatial_pattern_1_gene_id	Rprm
spatial_pattern_1_gene_prop	NULL
spatial_pattern_1_mean	-1.72356263470928
spatial_pattern_1_sd	0
spatial_pattern_2_region	1
spatial_pattern_2_cell_type	ExcitatoryNeuron
spatial_pattern_2_gene_id	Grm2
spatial_pattern_2_gene_prop	NULL
spatial_pattern_2_mean	2.41899462490414
spatial_pattern_2_sd	0
spatial_pattern_3_region	1
spatial_pattern_3_cell_type	ExcitatoryNeuron
spatial_pattern_3_gene_id	Nptxr
spatial_pattern_3_gene_prop	NULL
spatial_pattern_3_mean	1.61414877663867
spatial_pattern_3_sd	0
spatial_pattern_4_region	2
spatial_pattern_4_cell_type	ExcitatoryNeuron
spatial_pattern_4_gene_id	Lynx1
spatial_pattern_4_gene_prop	NULL
spatial_pattern_4_mean	0.954334274839182
spatial_pattern_4_sd	0
spatial_pattern_5_region	2
spatial_pattern_5_cell_type	ExcitatoryNeuron
spatial_pattern_5_gene_id	Cplx1
spatial_pattern_5_gene_prop	NULL
spatial_pattern_5_mean	0.789525343543695
spatial_pattern_5_sd	0
spatial_pattern_6_region	3
spatial_pattern_6_cell_type	ExcitatoryNeuron
spatial_pattern_6_gene_id	Actr1b
spatial_pattern_6_gene_prop	NULL
spatial_pattern_6_mean	-1.45772497181977
spatial_pattern_6_sd	0
spatial_pattern_7_region	3
spatial_pattern_7_cell_type	ExcitatoryNeuron
spatial_pattern_7_gene_id	Cadm4
spatial_pattern_7_gene_prop	NULL
spatial_pattern_7_mean	0.810533215247853
spatial_pattern_7_sd	0
spatial_pattern_8_region	4
spatial_pattern_8_cell_type	ExcitatoryNeuron
spatial_pattern_8_gene_id	Kif5a
spatial_pattern_8_gene_prop	NULL
spatial_pattern_8_mean	1.11717485779126
spatial_pattern_8_sd	0
spatial_pattern_9_region	4
spatial_pattern_9_cell_type	ExcitatoryNeuron
spatial_pattern_9_gene_id	Clstn1
spatial_pattern_9_gene_prop	NULL
spatial_pattern_9_mean	-0.7729842280097
spatial_pattern_9_sd	0
spatial_pattern_10_region	0
spatial_pattern_10_cell_type	Interneuron
spatial_pattern_10_gene_id	Eef1a2
spatial_pattern_10_gene_prop	NULL
spatial_pattern_10_mean	0.85120904797125
spatial_pattern_10_sd	0
spatial_pattern_11_region	1
spatial_pattern_11_cell_type	Interneuron
spatial_pattern_11_gene_id	Dcaf8
spatial_pattern_11_gene_prop	NULL
spatial_pattern_11_mean	-1.50038460899616
spatial_pattern_11_sd	0
spatial_pattern_12_region	1
spatial_pattern_12_cell_type	Interneuron
spatial_pattern_12_gene_id	Plekha6
spatial_pattern_12_gene_prop	NULL
spatial_pattern_12_mean	-1.2896274333233
spatial_pattern_12_sd	0
spatial_pattern_13_region	2
spatial_pattern_13_cell_type	Interneuron
spatial_pattern_13_gene_id	Sorcs1
spatial_pattern_13_gene_prop	NULL
spatial_pattern_13_mean	-1.35577447557319
spatial_pattern_13_sd	0
spatial_pattern_14_region	3
spatial_pattern_14_cell_type	Interneuron
spatial_pattern_14_gene_id	Wbp2
spatial_pattern_14_gene_prop	NULL
spatial_pattern_14_mean	-1.72786941809693
spatial_pattern_14_sd	0
spatial_pattern_15_region	3
spatial_pattern_15_cell_type	Interneuron
spatial_pattern_15_gene_id	Eef1a2
spatial_pattern_15_gene_prop	NULL
spatial_pattern_15_mean	-0.748962221673631
spatial_pattern_15_sd	0
spatial_pattern_16_region	4
spatial_pattern_16_cell_type	Interneuron
spatial_pattern_16_gene_id	Gprin1
spatial_pattern_16_gene_prop	NULL
spatial_pattern_16_mean	-2.25952302597972
spatial_pattern_16_sd	0
spatial_pattern_17_region	4
spatial_pattern_17_cell_type	Interneuron
spatial_pattern_17_gene_id	Rusc1
spatial_pattern_17_gene_prop	NULL
spatial_pattern_17_mean	-3.06430707124943
spatial_pattern_17_sd	0
spatial_pattern_18_region	4
spatial_pattern_18_cell_type	Microglia
spatial_pattern_18_gene_id	Mamld1
spatial_pattern_18_gene_prop	NULL
spatial_pattern_18_mean	3.60115425215147
spatial_pattern_18_sd	0
spatial_pattern_19_region	4
spatial_pattern_19_cell_type	Microglia
spatial_pattern_19_gene_id	Thrap3
spatial_pattern_19_gene_prop	NULL
spatial_pattern_19_mean	3.63346406146652
spatial_pattern_19_sd	0
spatial_pattern_20_region	0
spatial_pattern_20_cell_type	Astrocyte
spatial_pattern_20_gene_id	Bag6
spatial_pattern_20_gene_prop	NULL
spatial_pattern_20_mean	1.88668660098444
spatial_pattern_20_sd	0
spatial_pattern_21_region	0
spatial_pattern_21_cell_type	Astrocyte
spatial_pattern_21_gene_id	Gpd2
